,Name,Trust Score,Trust Score Rank,Normalized 24h Volume (BTC)
0,Binance,10,1,68558.04020376863
10,Gate.io,9,11,24714.05440426143
11,MEXC,9,12,22354.49462450681
1,Bitget,10,2,22351.136912306993
2,OKX,10,3,22103.327081965945
3,Bybit,10,4,21627.030928398024
4,Coinbase Exchange,10,5,18075.65114216276
81,LBank,6,82,15844.299471017572
12,HTX,9,13,15585.014848384784
13,CoinW,9,14,11600.96015675852
24,WEEX,8,25,10216.368597929295
14,Crypto.com Exchange,9,15,10045.760567925068
25,DigiFinex,8,26,9610.009972442682
26,Upbit,8,27,9187.538900407662
49,XT.COM,7,50,8814.9377737466
27,BitMart,8,28,7788.336061065796
15,WhiteBIT,9,16,7772.634527815545
28,P2B,8,29,7511.34357389068
82,Hotcoin,6,83,6964.928277981183
83,Uniswap V3 (Ethereum),6,84,6797.577263136645
29,Toobit,8,30,6626.193251805708
30,Bitunix,8,31,6560.792654186439
50,BVOX,7,51,6300.6741084169935
51,Bithumb,7,52,6075.732495750848
52,AscendEX (BitMax),7,53,5805.553220515427
53,Tapbit,7,54,5731.539501317421
31,Coinstore,8,32,5650.423794346369
54,Hibt,7,55,5619.85934450588
84,OrangeX,6,85,5615.64377053614
32,Ourbit,8,33,5577.127551018485
5,Kraken,10,6,5281.133215840133
55,Biconomy.com,7,56,4789.261933779725
33,BigONE,8,34,4505.461925518648
16,KuCoin,9,17,4272.955788800025
56,Deepcoin,7,57,4060.079970361558
17,LATOKEN,9,18,3958.122240087831
34,Pionex,8,35,3464.8888227869484
85,Azbit,6,86,2930.8739813340317
18,BingX,9,19,2687.773405615476
35,Tokenize,8,36,2676.335650305857
57,Bitvavo,7,58,2291.351934437774
36,Bitrue,7,37,2171.2832400917064
37,BTSE,8,38,2132.06633253119
38,Fastex,8,39,2003.6039063877345
58,BYDFi,7,59,1779.6131414313418
86,PancakeSwap V3 (BSC),5,87,1764.6449785946795
87,Uniswap V3 (Arbitrum One),6,88,1701.9388909769866
39,CoinEx,8,40,1679.930949343586
88,FMCPAY,6,89,1578.4315558850758
40,Dex-Trade,8,41,1435.3036777637979
89,Raydium (CLMM),6,90,1362.7284170652845
59,QMall,7,60,1103.9804624726128
90,Paribu,6,91,972.7975392031984
41,Bitstamp,8,42,945.6898155439252
19,Bitfinex,9,20,901.3235410645906
60,Phemex,7,61,825.7669705904169
42,Bitbank,8,43,735.2109834606647
61,bitFlyer,7,62,619.8804866877991
62,Slex,7,63,619.4943634985668
91,PancakeSwap V3 (Base),6,92,539.935357267426
63,EXMO,7,64,508.9909798715322
92,Coincheck,5,93,473.12061866128323
93,Bitci TR,6,94,463.19906044648496
95,Uniswap V2 (Ethereum),6,96,456.45326905672044
94,CoinTR,6,95,451.28208889584624
96,PancakeSwap V3 (Arbitrum),6,97,436.2953507992187
43,Bitkub,8,44,418.28355151595474
20,Gemini,9,21,412.3892665934911
64,PointPay,7,65,385.35213123760747
98,PancakeSwap (v2),6,99,354.83918388687925
97,FMFW.io,6,98,352.169221746802
6,Backpack Exchange ,10,7,346.68297598872664
99,Uniswap V3 (BSC),6,100,334.0086612917491
65,BitDelta,7,66,317.6223606343465
66,Nonkyc.io,7,67,296.2464066282818
44,bitcastle,8,45,263.73844129599325
67,BloFin,7,68,226.8840383891331
68,Deribit Spot,7,69,220.79912581767135
69,Kanga,7,70,179.19841066790647
70,Indodax,7,71,178.17255846809707
45,HashKey Exchange,8,46,170.61024251564007
46,BitoPro,8,47,161.60807147019878
71,Max Maicoin,7,72,159.5378070952081
72,Korbit,7,73,124.72870276451903
74,OKJ,7,75,124.42114500627383
73,LCX Exchange,7,74,124.23134487788151
21,Luno,9,22,123.3852972850672
47,Bitso,8,48,116.63240008678612
75,Coins.ph,7,76,85.44418445884494
76,EarnBIT,7,77,80.7711908117333
7,Binance US,10,8,74.03885122068984
77,Independent Reserve,7,78,66.75132233681073
8,Arkham,10,9,57.36496731055517
78,Cube,7,79,55.1976370958128
48,Bitcointry,8,49,52.877241644516666
22,WOO X,9,23,50.56730079267636
23,CoinDCX,9,24,45.85874405467176
9,HashKey Global,10,10,40.57390015008202
79,Foxbit,7,80,24.799807410711832
80,BitMEX,7,81,2.5153399535675365
