Name,Trust Score,Trust Score Rank,Normalized 24h Volume (BTC)
Binance,10,1,95927.83199882353
Gate.io,9,12,29520.20194640413
Bybit,10,2,29286.668241104362
Bitget,10,3,28258.830899205594
OKX,10,4,27367.35488159436
MEXC,9,13,25336.319853863894
Coinbase Exchange,10,5,23552.502005149458
LBank,6,82,21425.339227331227
HTX,9,14,21200.867697037844
CoinW,9,15,14897.124116329041
WEEX,8,25,14735.429147913263
Crypto.com Exchange,10,6,14489.355162416901
Upbit,8,26,13069.73532101292
DigiFinex,8,27,12869.970212118395
XT.COM,7,50,11248.138763207256
P2B,8,28,10833.876046830717
WhiteBIT,9,16,10173.607007978053
Hotcoin,6,83,9801.450436068695
BitMart,8,29,9723.362472736962
Toobit,8,30,9557.192484436606
BVOX,7,51,9087.684730510613
Kraken,10,7,8748.446361357415
Uniswap V3 (Ethereum),6,84,8507.864162176964
AscendEX (BitMax),7,52,8373.554392182356
Tapbit,7,53,8266.801791709735
LATOKEN,9,17,8259.813710333045
Ourbit,8,31,8044.087983822827
Coinstore,8,32,7732.668800524415
Bithumb,7,54,7636.883237861049
Bitunix,8,33,7610.612279580088
OrangeX,6,85,7372.645584654425
Hibt,7,55,6738.040780095804
Biconomy.com,7,56,6106.870698996778
BigONE,8,34,6012.325628350571
KuCoin,9,18,5978.808376495532
Deepcoin,7,57,5855.996694388117
Pionex,8,35,4997.531487256841
Azbit,6,86,3815.8675385147885
Bitrue,8,36,3131.7184807630906
Bitvavo,7,58,3094.2610338450254
BingX,9,19,2884.678261301823
Uniswap V3 (Arbitrum One),6,87,2783.4677716548463
Tokenize,8,37,2753.51275719381
PancakeSwap V3 (BSC),6,88,2545.209758639013
BTSE,8,38,2471.314501140992
BYDFi,7,59,2136.3737145629125
Fastex,8,39,1978.460701682618
Dex-Trade,8,40,1964.725401863729
CoinEx,8,41,1759.9010683500885
Raydium (CLMM),6,89,1748.3552463568246
QMall,7,60,1592.3100003207505
FMCPAY,6,90,1562.6892183270365
Bitstamp,8,42,1323.2288069913254
Bitfinex,9,20,1261.1505954202578
Phemex,7,61,1191.032857828597
bitFlyer,7,62,1130.7484031122617
Slex,7,63,893.5185935553432
Paribu,6,91,834.6759586915045
Bitbank,8,43,817.8219889084336
Coincheck,6,92,801.1262376233423
PancakeSwap V3 (Base),6,93,748.8534486166087
Gemini,9,21,743.7626158989601
CoinTR,6,94,650.9000906638058
EXMO,7,64,562.1573554118194
PancakeSwap V3 (Arbitrum),6,95,541.6367878809367
Bitkub,8,44,529.2756879991463
PointPay,7,65,529.0373248545532
FMFW.io,6,96,507.946102901726
Bitci TR,6,97,492.7324452999661
Uniswap V2 (Ethereum),6,98,479.7612815979926
BitDelta,7,66,458.1179453400883
Backpack Exchange ,10,8,449.4200435291284
GMO Japan,6,99,379.0360172376631
Uniswap V3 (Polygon),6,100,357.70281312039333
bitcastle,8,45,303.9895413650189
HashKey Exchange,8,46,301.01981000893943
Deribit Spot,7,67,297.40487670877735
Max Maicoin,7,68,259.83942037048496
BitoPro,8,47,248.41374520040938
Kanga,7,69,239.8374308515532
BloFin,7,70,230.3151461996663
Indodax,7,71,190.54612978688345
Korbit,7,72,180.5597791751061
Bitso,8,48,168.97409328735415
Luno,9,22,168.53815379385819
LCX Exchange,7,73,166.5817466348133
Nonkyc.io,7,74,147.7138677053541
Independent Reserve,7,75,138.04468636068654
Coins.ph,8,76,113.44421679786326
EarnBIT,7,77,100.71699159572158
Cube,7,78,82.9134544600606
Binance US,10,9,77.8684215168063
Arkham,10,10,75.12705824591328
Bitcointry,8,49,57.7686176220787
WOO X,9,23,56.15391611872867
CoinDCX,9,24,41.77521685188178
HashKey Global,10,11,34.78531006747987
Foxbit,7,79,31.243059586306675
BitMEX,7,80,2.0249052997005137
Blockchain.com,7,81,1.150923228213215
