id,symbol,name,categories,market_cap (usd),market_cap_rank,fully_diluted_valuation (usd)
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem']",66863584,561,66863584.0
0x,zrx,0x Protocol,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Avalanche Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'GMCI DeFi Index', 'Blockchain Capital Portfolio', 'GMCI Index', 'Made in USA']",224616915,240,264754627.0
1guy,1guy,1GUY,"['BNB Chain Ecosystem', 'Meme']",6570121,1697,6570121.0
1inch,1inch,1inch,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'FTX Holdings', 'Alameda Research Portfolio', 'DragonFly Capital Portfolio', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'Binance Labs Portfolio', 'GMCI DeFi Index', 'Galaxy Digital Portfolio', 'Blockchain Capital Portfolio', 'Dex Aggregator', 'GMCI Index', 'Coinbase 50 Index']",312208480,197,340277793.0
360noscope420blazeit,mlg,360noscope420blazeit,"['Solana Ecosystem', 'Meme', 'Solana Meme']",7900953,1589,7900953.0
42-coin,42,42-coin,['BNB Chain Ecosystem'],6343201,1714,6343209.0
888-token,888,888,"['Solana Ecosystem', 'Meme', 'Solana Meme']",5121720,1856,5121720.0
aarma-2,arma,Aarma,[],10056782,1460,37385414.0
aave,aave,Aave,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Lending/Borrowing Protocols', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Fantom Ecosystem', 'Harmony Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Base Ecosystem', 'Index Coop Defi Index', 'Energi Ecosystem', 'Sora Ecosystem', 'Huobi ECO Chain Ecosystem', 'GMCI DeFi Index', 'Blockchain Capital Portfolio', 'Index Coop Index', 'GMCI Index', 'World Liberty Financial Portfolio', 'Coinbase 50 Index']",2921287061,42,3098171702.0
aavegotchi,ghst,Aavegotchi,"['Smart Contract Platform', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Collectibles', 'Polygon Ecosystem', 'Meme', 'Play To Earn', 'Ethereum Ecosystem', 'Gotchiverse', 'Base Ecosystem', 'Layer 3 (L3)', 'Gaming Governance Token', 'Gaming Utility Token', 'Energi Ecosystem']",21934762,1031,22616750.0
access-protocol,acs,Access Protocol,"['SocialFi', 'Solana Ecosystem']",66378404,560,144148795.0
acet-token,act,Acet,['BNB Chain Ecosystem'],164430623,311,168562996.0
abtc,abtc,aBTC,"['Decentralized Finance (DeFi)', 'Aptos Ecosystem']",184394219,281,184394219.0
acala,aca,Acala,"['Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Polkadot Ecosystem', 'Layer 1 (L1)', 'Coinbase Ventures Portfolio', 'Pantera Capital Portfolio']",54791150,625,75142148.0
ac-milan-fan-token,acm,AC Milan Fan Token,"['Sports', 'Fan Token', 'Binance Launchpad', 'Chiliz Ecosystem']",6829601,1675,19270874.0
across-protocol,acx,Across Protocol,"['Polygon Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Bridge Governance Tokens', 'Intent', 'Boba Network Ecosystem', 'Blockchain Capital Portfolio', 'Made in USA']",96192384,444,238459343.0
acolyte-by-virtuals,acolyt,Acolyt,"['Solana Ecosystem', 'Base Ecosystem', 'AI Agents', 'Virtuals Protocol Ecosystem']",9840289,1469,9840289.0
act-i-the-ai-prophecy,act,Act I The AI Prophecy,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'AI Meme', 'Pump.fun Ecosystem']",180161306,285,180161306.0
