id,symbol,name,market_cap,categories
spx6900,spx,SPX6900,482382951.0,[]
aerodrome-finance,aero,Aerodrome Finance,481577835.0,[]
coredaoorg,core,Core,479016445.0,[]
chiliz,chz,Chiliz,477977400.0,[]
morpho,morpho,Morpho,468785257.0,[]
pendle,pendle,Pendle,466014305.0,[]
kava,kava,Kava,462099022.0,[]
thorchain,rune,THORChain,455335031.0,[]
ether-fi-staked-eth,eeth,ether.fi Staked ETH,454670004.0,[]
ecash,xec,eCash,452115894.0,[]
bridged-usdc-polygon-pos-bridge,usdc.e,Bridged USDC (Polygon PoS Bridge),445065871.0,[]
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),443014114.0,[]
compound-governance-token,comp,Compound,440660300.0,[]
trust-wallet-token,twt,Trust Wallet,435874936.0,[]
ousg,ousg,OUSG,432551786.0,[]
clbtc,clbtc,clBTC,428968498.0,[]
beam-2,beam,Beam,425717066.0,[]
apenft,nft,APENFT,418033719.0,[]
amp-token,amp,Amp,414150246.0,[]
reserve-rights-token,rsr,Reserve Rights,413644217.0,[]
aioz-network,aioz,AIOZ Network,413065154.0,[]
usdb,usdb,USDB,403703727.0,[]
eigenlayer,eigen,Eigenlayer,401731801.0,[]
akash-network,akt,Akash Network,401030777.0,[]
ai16z,ai16z,ai16z,400362548.0,[]
hashnote-usyc,usyc,Hashnote USYC,396312665.0,[]
wormhole,w,Wormhole,393211015.0,[]
olympus,ohm,Olympus,391815064.0,[]
gnosis,gno,Gnosis,390871964.0,[]
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,384368065.0,[]
mina-protocol,mina,Mina Protocol,384215401.0,[]
axelar,axl,Axelar,382398795.0,[]
tbtc,tbtc,tBTC,380573034.0,[]
based-brett,brett,Brett,376680514.0,[]
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,372657211.0,[]
terra-luna,lunc,Terra Luna Classic,370367460.0,[]
verus-coin,vrsc,Verus,366768739.0,[]
super-oeth,superoethb,Super OETH,360884671.0,[]
stakestone-berachain-vault-token,berastone,StakeStone Berachain Vault Token,356933045.0,[]
cgeth-hashkey-cloud,cgeth.hashkey,cgETH Hashkey Cloud,352609494.0,[]
zksync,zk,ZKsync,350932762.0,[]
deep,deep,DeepBook,348094268.0,[]
golem,glm,Golem,341692707.0,[]
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,334406138.0,[]
1inch,1inch,1inch,332805614.0,[]
binance-peg-busd,busd,Binance-Peg BUSD,324163294.0,[]
polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS),323200887.0,[]
meow,meow,MEOW,318246285.0,[]
just,jst,JUST,316786461.0,[]
creditcoin-2,ctc,Creditcoin,314922479.0,[]
dash,dash,Dash,312120134.0,[]
havven,snx,Synthetix Network,310725991.0,[]
stakewise-v3-oseth,oseth,StakeWise Staked ETH,309702534.0,[]
nervos-network,ckb,Nervos Network,309503423.0,[]
kusama,ksm,Kusama,308848797.0,[]
stader-ethx,ethx,Stader ETHx,307933103.0,[]
safepal,sfp,SafePal,305501824.0,[]
ket,ket,Ket,304871525.0,[]
mx-token,mx,MX,303702404.0,[]
theta-fuel,tfuel,Theta Fuel,303051245.0,[]
mantle-bridged-usdt-mantle,usdt,Mantle Bridged USDT (Mantle),302322396.0,[]
chex-token,chex,CHEX Token,302191052.0,[]
plume,plume,Plume,301357354.0,[]
frax-ether,frxeth,Frax Ether,295753004.0,[]
notcoin,not,Notcoin,294222119.0,[]
sweth,sweth,Swell Ethereum,293698641.0,[]
blur,blur,Blur,290320454.0,[]
elixir-deusd,deusd,Elixir deUSD,288630566.0,[]
astar,astr,Astar,285731525.0,[]
layerzero,zro,LayerZero,283963955.0,[]
compound-wrapped-btc,cwbtc,cWBTC,281676215.0,[]
safe,safe,Safe,277418591.0,[]
ether-fi-staked-btc,ebtc,Ether.fi Staked BTC,276586575.0,[]
polygon-bridged-wbtc-polygon-pos,wbtc,Polygon Bridged WBTC (Polygon POS),275766490.0,[]
echelon-prime,prime,Echelon Prime,275268354.0,[]
sats-ordinals,sats,SATS (Ordinals),270472390.0,[]
qtum,qtum,Qtum,266252140.0,[]
zilliqa,zil,Zilliqa,265602743.0,[]
aethir,ath,Aethir,262617650.0,[]
vana,vana,Vana,261111211.0,[]
oasis-network,rose,Oasis,260973984.0,[]
fartcoin,fartcoin,Fartcoin,260696836.0,[]
the-grays-currency,ptgc,The Grays Currency,258297996.0,[]
mog-coin,mog,Mog Coin,255857805.0,[]
wemix-token,wemix,WEMIX,255478838.0,[]
superfarm,super,SuperVerse,255184820.0,[]
instadapp,fluid,Fluid,254832400.0,[]
vethor-token,vtho,VeThor,253983064.0,[]
livepeer,lpt,Livepeer,253728595.0,[]
dydx,ethdydx,dYdX,250789482.0,[]
peanut-the-squirrel,pnut,Peanut the Squirrel,249876317.0,[]
snek,snek,Snek,249219874.0,[]
ordinals,ordi,ORDI,248664308.0,[]
basic-attention-token,bat,Basic Attention,248323889.0,[]
0x,zrx,0x Protocol,247579864.0,[]
holotoken,hot,Holo,244966696.0,[]
liquid-staked-ethereum,lseth,Liquid Staked ETH,244615823.0,[]
goplus-security,gps,GoPlus Security,241960263.0,[]
baby-doge-coin,babydoge,Baby Doge Coin,240949724.0,[]
liquity,lqty,Liquity,84864245.0,[]
request-network,req,Request,84859069.0,[]
