id,symbol,name,market_cap,categories
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),486578681.0,['Unknown']
aerodrome-finance,aero,Aerodrome Finance,477415423.0,['Unknown']
coredaoorg,core,Core,476716436.0,['Unknown']
spx6900,spx,SPX6900,473855625.0,['Unknown']
chiliz,chz,Chiliz,473545957.0,['Unknown']
morpho,morpho,Morpho,462533563.0,['Unknown']
pendle,pendle,Pendle,461702089.0,['Unknown']
kava,kava,Kava,459975378.0,['Unknown']
thorchain,rune,THORChain,453516305.0,['Unknown']
ether-fi-staked-eth,eeth,ether.fi Staked ETH,449413107.0,['Unknown']
ecash,xec,eCash,449115003.0,['Unknown']
bridged-usdc-polygon-pos-bridge,usdc.e,Bridged USDC (Polygon PoS Bridge),445033091.0,['Unknown']
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),441307932.0,['Unknown']
trust-wallet-token,twt,Trust Wallet,440225058.0,['Unknown']
compound-governance-token,comp,Compound,437756447.0,['Unknown']
ousg,ousg,OUSG,432551786.0,['Unknown']
clbtc,clbtc,clBTC,432118127.0,['Unknown']
beam-2,beam,Beam,423630266.0,['Unknown']
apenft,nft,APENFT,418841185.0,['Unknown']
amp-token,amp,Amp,412162687.0,['Unknown']
reserve-rights-token,rsr,Reserve Rights,407600582.0,['Unknown']
aioz-network,aioz,AIOZ Network,403796115.0,['Unknown']
usdb,usdb,USDB,399795023.0,['Unknown']
akash-network,akt,Akash Network,397446892.0,['Unknown']
hashnote-usyc,usyc,Hashnote USYC,396312665.0,['Unknown']
olympus,ohm,Olympus,392299860.0,['Unknown']
eigenlayer,eigen,Eigenlayer,392050226.0,['Unknown']
ai16z,ai16z,ai16z,390419322.0,['Unknown']
wormhole,w,Wormhole,388953469.0,['Unknown']
gnosis,gno,Gnosis,385528315.0,['Unknown']
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,384327129.0,['Unknown']
axelar,axl,Axelar,381240496.0,['Unknown']
mina-protocol,mina,Mina Protocol,381016770.0,['Unknown']
tbtc,tbtc,tBTC,379264868.0,['Unknown']
verus-coin,vrsc,Verus,377144032.0,['Unknown']
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,372657211.0,['Unknown']
based-brett,brett,Brett,367894649.0,['Unknown']
terra-luna,lunc,Terra Luna Classic,366240215.0,['Unknown']
super-oeth,superoethb,Super OETH,356856748.0,['Unknown']
stakestone-berachain-vault-token,berastone,StakeStone Berachain Vault Token,353087974.0,['Unknown']
cgeth-hashkey-cloud,cgeth.hashkey,cgETH Hashkey Cloud,352833234.0,['Unknown']
meow,meow,MEOW,352244603.0,['Unknown']
zksync,zk,ZKsync,346301640.0,['Unknown']
golem,glm,Golem,344206952.0,['Unknown']
deep,deep,DeepBook,343922015.0,['Unknown']
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,330815315.0,['Unknown']
1inch,1inch,1inch,330761151.0,['Unknown']
binance-peg-busd,busd,Binance-Peg BUSD,323723080.0,['Unknown']
polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS),319836630.0,['Unknown']
just,jst,JUST,317935704.0,['Unknown']
ket,ket,Ket,316566824.0,['Unknown']
creditcoin-2,ctc,Creditcoin,312166636.0,['Unknown']
dash,dash,Dash,310352050.0,['Unknown']
havven,snx,Synthetix Network,308780203.0,['Unknown']
kusama,ksm,Kusama,307400104.0,['Unknown']
plume,plume,Plume,306200472.0,['Unknown']
stakewise-v3-oseth,oseth,StakeWise Staked ETH,306123226.0,['Unknown']
nervos-network,ckb,Nervos Network,304712003.0,['Unknown']
stader-ethx,ethx,Stader ETHx,304258381.0,['Unknown']
safepal,sfp,SafePal,304108319.0,['Unknown']
mantle-bridged-usdt-mantle,usdt,Mantle Bridged USDT (Mantle),303443436.0,['Unknown']
mx-token,mx,MX,301842585.0,['Unknown']
theta-fuel,tfuel,Theta Fuel,301633898.0,['Unknown']
chex-token,chex,CHEX Token,298187959.0,['Unknown']
notcoin,not,Notcoin,296912180.0,['Unknown']
frax-ether,frxeth,Frax Ether,292668136.0,['Unknown']
sweth,sweth,Swell Ethereum,290503852.0,['Unknown']
elixir-deusd,deusd,Elixir deUSD,288647702.0,['Unknown']
blur,blur,Blur,287595264.0,['Unknown']
astar,astr,Astar,283557875.0,['Unknown']
