id,symbol,name,market_cap,current_price
bitcoin,btc,Bitcoin,1705625829883.0,86076.0
ethereum,eth,Ethereum,269995154687.0,2240.35
tether,usdt,Tether,142353696578.0,0.999571
ripple,xrp,XRP,131443532004.0,2.27
binancecoin,bnb,BNB,88712341212.0,608.85
solana,sol,Solana,72834848762.0,143.66
usd-coin,usdc,USDC,56352790306.0,0.999867
dogecoin,doge,Dogecoin,30729142245.0,0.207622
cardano,ada,Cardano,23758569761.0,0.661399
staked-ether,steth,Lido Staked Ether,21095549980.0,2240.38
tron,trx,TRON,20000633895.0,0.2327
wrapped-bitcoin,wbtc,Wrapped Bitcoin,11081706602.0,85929.0
hedera-hashgraph,hbar,Hedera,10405329791.0,0.248813
stellar,xlm,Stellar,9782658629.0,0.318883
wrapped-steth,wsteth,Wrapped stETH,9532302700.0,2683.76
chainlink,link,Chainlink,9417992909.0,14.77
litecoin,ltc,Litecoin,9224794769.0,122.16
avalanche-2,avax,Avalanche,9103756366.0,22.01
sui,sui,Sui,9098717073.0,2.87
leo-token,leo,LEO Token,9052283514.0,9.81
the-open-network,ton,Toncoin,8331024448.0,3.34
shiba-inu,shib,Shiba Inu,8123519199.0,1.38e-05
usds,usds,USDS,7875653572.0,0.999929
mantra-dao,om,MANTRA,7312485968.0,7.51
polkadot,dot,Polkadot,7050427867.0,4.64
hyperliquid,hype,Hyperliquid,6456234834.0,19.38
weth,weth,WETH,6421475262.0,2241.24
bitcoin-cash,bch,Bitcoin Cash,6328496008.0,319.34
ethena-usde,usde,Ethena USDe,5457047031.0,0.998769
bitget-token,bgb,Bitget Token,4918903508.0,4.11
wrapped-eeth,weeth,Wrapped eETH,4578229369.0,2378.56
uniswap,uni,Uniswap,4515807199.0,7.53
monero,xmr,Monero,4185658588.0,227.2
near,near,NEAR Protocol,3865905847.0,3.26
whitebit,wbt,WhiteBIT Coin,3849376096.0,26.52
aptos,apt,Aptos,3663638874.0,6.22
dai,dai,Dai,3293113878.0,0.999774
pepe,pepe,Pepe,3286224168.0,7.81e-06
internet-computer,icp,Internet Computer,3199256333.0,6.65
ondo-finance,ondo,Ondo,3196719585.0,1.013
susds,susds,sUSDS,2969731750.0,1.041
aave,aave,Aave,2942258845.0,195.26
ethereum-classic,etc,Ethereum Classic,2914602232.0,19.32
bittensor,tao,Bittensor,2827261740.0,336.4
official-trump,trump,Official Trump,2792946410.0,14.11
okb,okb,OKB,2767758902.0,46.19
gatechain-token,gt,Gate,2644090936.0,21.05
mantle,mnt,Mantle,2483499061.0,0.738449
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,2454438501.0,86053.0
polygon-ecosystem-token,pol,POL (ex-MATIC),2398083948.0,0.279688
sonic-3,s,Sonic (prev. FTM),2361963766.0,0.745247
vechain,vet,VeChain,2310825043.0,0.02855205
celestia,tia,Celestia,2265432136.0,4.22
tokenize-xchange,tkx,Tokenize Xchange,2137391338.0,26.69
algorand,algo,Algorand,2098982347.0,0.248323
filecoin,fil,Filecoin,2073046656.0,3.23
first-digital-usd,fdusd,First Digital USD,2036461093.0,0.997757
kaspa,kas,Kaspa,2030436418.0,0.078899
crypto-com-chain,cro,Cronos,2029903362.0,0.07435
jupiter-exchange-solana,jup,Jupiter,2004431086.0,0.760192
render-token,render,Render,1976558478.0,3.82
cosmos,atom,Cosmos Hub,1969220462.0,4.49
arbitrum,arb,Arbitrum,1858739241.0,0.420932
lombard-staked-btc,lbtc,Lombard Staked BTC,1735325605.0,86058.0
optimism,op,Optimism,1733143304.0,1.07
fasttoken,ftn,Fasttoken,1703578882.0,3.97
