Coin,Description,Rank,Market capitalization,Market capitalization - Currency,Social dominance %,Category
BTC,Bitcoin,1,2276597743905.54,USD,20.604283128326482,"Cryptocurrencies, Layer 1"
ETH,Ethereum,2,429309771081.4726,USD,13.455135814358291,"Smart contract platforms, Layer 1, World Liberty Financial portfolio"
XRP,XRP,3,177029601147.5325,USD,4.214120367390135,"Cryptocurrencies, Enterprise solutions, Layer 1, Made in America"
USDT,Tether USDt,4,163905845497.8526,USD,0.9738361987944206,"Stablecoins, Asset-backed stablecoins, Fiat-backed stablecoins, World Liberty Financial portfolio"
BNB,BNB,5,105459325427.1414,USD,1.34720015655537,"Smart contract platforms, Centralized exchange, Layer 1, Exchange tokens"
SOL,Solana,6,87949659474.60086,USD,10.521396329703549,"Smart contract platforms, Layer 1, Made in America"
USDC,USDC,7,64171235698.43144,USD,2.0334173616815283,"Stablecoins, Asset-backed stablecoins, Made in America, Fiat-backed stablecoins, World Liberty Financial portfolio"
TRX,TRON,8,31269125323.072445,USD,0.5502612260242403,"Smart contract platforms, Payments, Layer 1, World Liberty Financial portfolio"
DOGE,Dogecoin,9,30272554190.003704,USD,2.8322874850976283,"Memes, Cryptocurrencies, Layer 1, Made in America"
ADA,Cardano,10,26221914053.837242,USD,2.448237593373176,"Smart contract platforms, Layer 1, Made in America"
XLM,Stellar,11,12747055745.99814,USD,0.5090624444782046,"Cryptocurrencies, Smart contract platforms, Layer 1, Made in America, Real-world assets, Exchange tokens"
HYPE,Hyperliquid,12,12630833408.5,USD,0.8409701283084553,"Decentralized exchange, Derivatives, Layer 1, Exchange tokens"
SUI,Sui,13,12108062028.213486,USD,1.5127677598935012,"Smart contract platforms, Developments tools, Scaling, Layer 1, Made in America, World Liberty Financial portfolio"
LINK,Chainlink,14,11288330208.127539,USD,1.4189117856839384,"Oracles, Data management and AI, Interoperability, Web3, Made in America, Real-world assets, World Liberty Financial portfolio"
BCH,Bitcoin Cash,15,11063941319.3125,USD,0.27693305970475923,"Cryptocurrencies, Layer 1, Made in America"
HBAR,Hedera,16,10439620370.999989,USD,0.8279667628829878,"Smart contract platforms, Enterprise solutions, DeFi, Layer 1, Made in America, Real-world assets"
USDE,Ethena USDe,17,9417607169.57891,USD,0.05059725358622519,"Stablecoins, Asset-backed stablecoins"
AVAX,Avalanche,18,9230515465.507568,USD,0.983878401796267,"Smart contract platforms, Layer 1, Made in America, Real-world assets, World Liberty Financial portfolio"
LTC,Litecoin,19,8862172844.086395,USD,1.0876478328153445,"Cryptocurrencies, Layer 1, Made in America"
TON,Toncoin,20,8278769832.354469,USD,0.5518061803322167,"Smart contract platforms, Layer 1"
LEO,UNUS SED LEO,21,8287533493.95215,USD,0.007467279155218985,"Centralized exchange, Payments, Exchange tokens"
SHIB,Shiba Inu,22,7226515565.4575815,USD,1.3236396033587308,"Memes, Cryptocurrencies"
UNI,Uniswap,23,5877271371.614067,USD,0.5157572464794354,"Decentralized exchange, DeFi, DAO, Made in America, Exchange tokens"
DOT,Polkadot,24,5818439084.736619,USD,0.4575639675456598,"Smart contract platforms, Layer 1"
XMR,Monero,25,5661490223.662199,USD,0.2372792324666998,"Privacy, Cryptocurrencies, Layer 1"
DAI,Dai,26,5363826741.681099,USD,0.07454404535985848,"Stablecoins, Asset-backed stablecoins, DeFi"
BGB,Bitget Token,27,4927957573.129117,USD,0.007081040578224899,"Centralized exchange, Exchange tokens"
PEPE,Pepe,28,4381905994.791309,USD,2.1630647773592098,Memes
CRO,Cronos,29,4365590341.312794,USD,0.5541236117941812,"Smart contract platforms, Centralized exchange, Payments, Layer 1, Exchange tokens"
AAVE,Aave,30,3998774930.289652,USD,0.18204711595654557,"Lending and borrowing, DeFi, DAO, Made in America, World Liberty Financial portfolio"
ENA,Ethena,31,3933678656.25,USD,0.941907143096243,"DeFi, World Liberty Financial portfolio"
TAO,Bittensor,32,3403381531.68,USD,0.972934975448101,"Distributed computing and storage, Oracles, Data management and AI, DAO, Layer 1, DePIN"
ETC,Ethereum Classic,33,3087566309.290946,USD,0.13170735475498313,"Smart contract platforms, Layer 1"
NEAR,NEAR Protocol,34,3075389457.1925,USD,0.3956370490342748,"Smart contract platforms, Data management and AI, Interoperability, Layer 1, Made in America"
ONDO,Ondo,35,2918415126.36549,USD,0.3564982065655408,"Made in America, Real-world assets, World Liberty Financial portfolio"
APT,Aptos,36,2860979365.9800878,USD,0.29508627282348127,"Smart contract platforms, Layer 1, Made in America"
OKB,OKB,37,2781480000,USD,0.10261071528809536,"Centralized exchange, Layer 1, Exchange tokens"
ICP,Internet Computer,38,2762901958.869797,USD,0.5779416573754831,"Smart contract platforms, Data management and AI, DeFi, Layer 1, DePIN"
PI,PI,39,2751800719.455564,USD,,Layer 1
MNT,Mantle,40,2483720648.92679,USD,0.18075965403323196,"Scaling, DeFi, DAO"
KAS,Kaspa,41,2300479418.316602,USD,1.1469998274801023,"Cryptocurrencies, Layer 1, Made in America"
PENGU,Pudgy Penguins,42,2216080403.7582703,USD,1.1473860660570963,"Memes, NFTs and collectibles, Made in America"
USD1,World Liberty Financial USD,43,2166244627.3176947,USD,,"Stablecoins, Made in America, World Liberty Financial portfolio"
BONK,Bonk,44,2159292006.574287,USD,1.4517420647284356,"Memes, Made in America"
POL,POL (prev. MATIC),45,2120689705.1479557,USD,0.15694160845193003,Scaling
ALGO,Algorand,46,2106013962.023886,USD,0.2943137956694931,"Smart contract platforms, Layer 1, Made in America, Real-world assets"
GT,GateToken,47,2064037504.284,USD,0.1347972633709358,"Centralized exchange, Exchange tokens"
ARB,Arbitrum,48,2014516231.2745,USD,0.43644959200331646,"Scaling, Web3, DAO"
VET,VeChain,49,1976452156.4945219,USD,0.5135685612098022,"Smart contract platforms, Internet of things, Logistics, Layer 1, Real-world assets"
RENDER,Render,50,1847388126.070176,USD,0.4521566274677426,"Gaming, Distributed computing and storage, Data management and AI, NFTs and collectibles, Scaling, Social media and content, Metaverse, Web3, DePIN, Made in America"
WLD,Worldcoin,51,1794878324.8634107,USD,0.17612479110930293,"Privacy, Identity, Made in America"
TRUMP,OFFICIAL TRUMP,52,1776093769.6073718,USD,,"Memes, Made in America"
IP,Story,53,1767108292.624,USD,,"Smart contract platforms, Data management and AI, Layer 1, Made in America"
SKY,Sky,54,1674795917.7851434,USD,,"Cryptocurrencies, Lending and borrowing, DeFi, DAO, Real-world assets"
ATOM,Cosmos,55,1667686220.8436,USD,0.22157219700227365,"Smart contract platforms, Interoperability, Layer 1"
SEI,Sei,56,1642437504.0088499,USD,0.6407697992331877,"Developments tools, Layer 1, Made in America, World Liberty Financial portfolio"
FLR,FLARE,57,1649839707.7972193,USD,0.020599390773017888,"Developments tools, Interoperability, Layer 1"
FIL,Filecoin,58,1615643611.704,USD,0.14277952729548024,"Distributed computing and storage, Data management and AI, Web3, Layer 1, DePIN, Made in America"
SPX,SPX6900,59,1526735568.405793,USD,0.4090266530367364,Memes
XDC,XDC Network,60,1532733795.6911108,USD,0.19878412095962264,"Smart contract platforms, Enterprise solutions, Layer 1, Real-world assets"
FET,Artificial Superintelligence Alliance,61,1532440756.0328748,USD,0.6112869211893058,"Data management and AI, Interoperability, Layer 1"
FORM,Four,62,1457816433.2399256,USD,0.06051071039574004,Gaming
FDUSD,First Digital USD,63,1449793414.8486168,USD,0.05536086270248558,"Stablecoins, Fiat-backed stablecoins"
JUP,Jupiter,64,1420812108.989676,USD,0.21925476554030915,"Decentralized exchange, Derivatives, Interoperability, DeFi, Exchange tokens"
KCS,KuCoin Token,65,1336783506.819835,USD,0.07711896920648571,"Centralized exchange, Exchange tokens"
QNT,Quant,66,1329208453.8,USD,0.274358135858132,"Interoperability, Real-world assets"
INJ,Injective,67,1316517248.41429,USD,0.918475336091935,"Smart contract platforms, Data management and AI, Interoperability, DeFi, Web3, Layer 1, Made in America, Real-world assets"
CRV,Curve DAO Token,68,1225289293.2366788,USD,0.29418504947716173,"Decentralized exchange, DeFi, DAO, Exchange tokens"
STX,Stacks,69,1229201647.188233,USD,0.2871040088989368,"Smart contract platforms, Gaming, NFTs and collectibles, DeFi, Metaverse, Web3, Made in America"
TIA,Celestia,70,1203702190.6175404,USD,0.8637582043511063,"Developments tools, Scaling, Layer 1"
OP,Optimism,71,1171617238.39254,USD,0.43104225192539936,"Scaling, Made in America"
CFX,Conflux,72,1071459604.6781851,USD,0.3335813843305584,"Smart contract platforms, Interoperability, DeFi, Web3"
FLOKI,FLOKI,73,1041057698.2956029,USD,0.43722206915730466,"Memes, Gaming, Metaverse"
PUMP,Pump.fun,74,1069257000.0000001,USD,,
PYUSD,PayPal USD,75,1008341700.0863672,USD,0.017766974541727928,"Stablecoins, Asset-backed stablecoins, Fiat-backed stablecoins"
FARTCOIN,Fartcoin,76,973858301.5881599,USD,0.9343111177486926,"Memes, Data management and AI"
GRT,The Graph,77,960074090.5724229,USD,0.17509482157065206,"Data management and AI, Enterprise solutions, Web3, Made in America"
PAXG,PAX Gold,78,954089616.57418,USD,0.10698808582736165,"Asset-backed tokens, Real-world assets"
ENS,Ethereum Name Service,79,950847525.4561176,USD,0.11213793352061613,"Identity, Web3, DAO"
IMX,Immutable,80,947739817.6094588,USD,0.21989849650196594,"Privacy, Developments tools, Gaming, NFTs and collectibles, Scaling, Marketplace"
WIF,dogwifhat,81,909983310.955469,USD,0.06578930428132589,Memes
CAKE,PancakeSwap,82,889668911.7880694,USD,0.20753886203815522,"Privacy, Decentralized exchange, DeFi, Exchange tokens"
KAIA,Kaia,83,871483428.4908684,USD,0.07351407582120759,"Enterprise solutions, Layer 1"
M,MemeCore,84,876356181.3593999,USD,,Memes
NEXO,Nexo,85,852589435.3187964,USD,0.09462845136355093,"Lending and borrowing, Payments"
S,Sonic,86,855590400,USD,0.6340749972319568,Layer 1
XAUT,Tether Gold,87,828784105.12,USD,0.04171376631536122,"Asset-backed tokens, Real-world assets"
LDO,Lido DAO,88,832618483.2826015,USD,0.13621347148658078,"Derivatives, DeFi, DAO"
XTZ,Tezos,89,799131783.881162,USD,0.5061012820545832,"Smart contract platforms, Layer 1, Made in America"
VIRTUAL,Virtuals Protocol,90,794512395.2885017,USD,0.11110796398196524,"Gaming, Data management and AI, Metaverse"
A,Vaulta,91,789940369.2785658,USD,,"Cryptocurrencies, Smart contract platforms, Enterprise solutions, DeFi, Made in America"
THETA,Theta Network,92,754200000,USD,0.08600245647734968,"Smart contract platforms, Distributed computing and storage, Data management and AI, Enterprise solutions, Social media and content, Web3, Layer 1, DePIN, Made in America"
JASMY,JasmyCoin,93,744691140.137851,USD,0.17638228349396567,Internet of things
IOTA,IOTA,94,733063323.77237,USD,0.18075965403323196,"Cryptocurrencies, Internet of things, Social media and content, Layer 1, DePIN, Real-world assets"
GALA,Gala,95,697544903.8328516,USD,0.26006730850935084,"Gaming, NFTs and collectibles, Layer 1, Made in America"
RAY,Raydium,96,696139298.2608653,USD,0.3484,"Decentralized exchange, DeFi, Exchange tokens"
SAND,The Sandbox,97,685112514.0050573,USD,0.14368075064179975,"Gaming, NFTs and collectibles, Metaverse, Marketplace"
AERO,Aerodrome Finance,98,679927368.3582908,USD,0.13647096387124352,"Decentralized exchange, DeFi, Made in America"
PENDLE,Pendle,99,667591896.8942921,USD,0.10698808582736165,"Social media and content, DeFi, Web3, Real-world assets"
PYTH,Pyth Network,100,661133296.6830171,USD,0.15295047648965782,"Oracles, Interoperability"
BTT,BitTorrent-New,101,643355592.6570497,USD,0.06733425858930223,"Distributed computing and storage, Web3, DePIN"
