id,symbol,name,categories,circulation_supply,total_supply,market_cap_rank,exchange,crypto_pair(usd),crypto_ticker
0x,zrx,0x Protocol,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Avalanche Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'GMCI DeFi Index', 'Blockchain Capital Portfolio', 'GMCI Index', 'Made in USA']",848396562.9,1000000000,257,BINANCE,ZRX/USDT,ZRXUSDT
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem']",891250000,891250000,452,BITGET,0X0/USDT,0X0USDT
1guy,1guy,1GUY,"['BNB Chain Ecosystem', 'Meme']",1000000000,1000000000,1710,,/,
1inch,1inch,1inch,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'FTX Holdings', 'Alameda Research Portfolio', 'DragonFly Capital Portfolio', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio', 'GMCI DeFi Index', 'Galaxy Digital Portfolio', 'Blockchain Capital Portfolio', 'Dex Aggregator', 'GMCI Index', 'Coinbase 50 Index']",1385031115.638985,1500000000,216,BINANCE,1INCH/USDT,1INCHUSDT
aag-ventures,aag,AAG,"['Harmony Ecosystem', 'Ethereum Ecosystem']",590404743.2,1000000000,1578,XeggeX,AAG/USDT,AAGUSDT
aave,aave,Aave,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Lending/Borrowing Protocols', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Fantom Ecosystem', 'Harmony Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Base Ecosystem', 'Index Coop Defi Index', 'Energi Ecosystem', 'Sora Ecosystem', 'Huobi ECO Chain Ecosystem', 'GMCI DeFi Index', 'Blockchain Capital Portfolio', 'Index Coop Index', 'GMCI Index', 'World Liberty Financial Portfolio', 'Coinbase 50 Index']",15097188.15895175,16000000,51,BINANCE,AAVE/USDT,AAVEUSDT
aavegotchi,ghst,Aavegotchi,"['Smart Contract Platform', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Collectibles', 'Polygon Ecosystem', 'Meme', 'Play To Earn', 'Ethereum Ecosystem', 'Gotchiverse', 'Base Ecosystem', 'Layer 3 (L3)', 'RPG', 'Gaming Governance Token', 'Gaming Utility Token', 'Energi Ecosystem']",51157239.21,52747802.71425598,905,BINANCE,GHST/USDT,GHSTUSDT
abelian,abel,Abelian,[],117336717,225179981,1592,MEXC,ABEL/USDT,ABELUSDT
abster,abster,Abster,"['Meme', 'Abstract Ecosystem']",990486747.5651048,990486747.5651048,1269,Uniswap V2 (Abstract),0XC325B7E2736A5202BD860F5974D0AA375E57EDE5/0X3439153EB7AF838AD19D56E1571FBD09333C2809,
access-protocol,acs,Access Protocol,"['SocialFi', 'Solana Ecosystem']",40944883788.33702,88585009253.20148,612,GATEIO,ACS/USDT,ACSUSDT
