Coin,quote_currency,cryptopair
BTC,USD,BTCUSD
ETH,USD,ETHUSD
USDT,USD,USDTUSD
XRP,USD,XRPUSD
BNB,USD,BNBUSD
SOL,USD,SOLUSD
USDC,USD,USDCUSD
DOGE,USD,DOGEUSD
TRX,USD,TRXUSD
ADA,USD,ADAUSD
HYPE,HUSD,HYPEHUSD
SUI,USD,SUIUSD
LINK,USD,LINKUSD
AVAX,USD,AVAXUSD
XLM,USD,XLMUSD
BCH,USD,BCHUSD
LEO,USD,LEOUSD
TON,USD,TONUSD
SHIB,USD,SHIBUSD
HBAR,USD,HBARUSD
LTC,USD,LTCUSD
DOT,USD,DOTUSD
XMR,USD,XMRUSD
BGB,USD,BGBUSD
ABYS,SFUSD,ABYSSFUSD
DAI,USD,DAIUSD
PEPE,USD,PEPEUSD
PI,USD,PIUSD
UNI,USD,UNIUSD
AAVE,USD,AAVEUSD
TAO,BUSD,TAOBUSD
OKB,USD,OKBUSD
NEAR,USD,NEARUSD
APT,RUSD,APTRUSD
CRO,USD,CROUSD
ETC,USD,ETCUSD
ONDO,USD,ONDOUSD
ICP,USD,ICPUSD
GT,USD,GTUSD
MNT,USD,MNTUSD
KAS,USD,KASUSD
USD1,WUSD,USD1WUSD
POL,IUSD,POLIUSD
TRUMP,DUSD,TRUMPDUSD
VET,USD,VETUSD
RENDER,USD,RENDERUSD
WLD,WUSD,WLDWUSD
ENA,USD,ENAUSD
FET,USD,FETUSD
FIL,USD,FILUSD
ATOM,USD,ATOMUSD
FDUSD,USD,FDUSDUSD
ARB,IUSD,ARBIUSD
ALGO,USD,ALGOUSD
SKY,2USD,SKY2USD
JUP,IUSD,JUPIUSD
KCS,USD,KCSUSD
TIA,2USD,TIA2USD
VIRTUAL,USD,VIRTUALUSD
QNT,USD,QNTUSD
BONK,USD,BONKUSD
INJ,USD,INJUSD
DEXE,USD,DEXEUSD
S,DUSD,SDUSD
STX,USD,STXUSD
FORM,FUSD,FORMFUSD
IP,USD,IPUSD
OP,USD,OPUSD
FLR,USD,FLRUSD
FARTCOIN,USD,FARTCOINUSD
SEI,USD,SEIUSD
IMX,USD,IMXUSD
A,DUSD,ADUSD
XDC,USD,XDCUSD
GRT,USD,GRTUSD
PYUSD,USD,PYUSDUSD
CRV,USD,CRVUSD
SPX,CUSD,SPXCUSD
XAUT,USD,XAUTUSD
PAXG,USD,PAXGUSD
WIF,USD,WIFUSD
NEXO,USD,NEXOUSD
ZEC,USD,ZECUSD
FLOKI,USD,FLOKIUSD
JASMY,USD,JASMYUSD
ENS,USD,ENSUSD
THETA,USD,THETAUSD
LDO,USD,LDOUSD
CAKE,USD,CAKEUSD
GALA,USD,GALAUSD
RAY,USD,RAYUSD
CORE,USD,COREUSD
SAND,USD,SANDUSD
IOTA,USD,IOTAUSD
BTT,USD,BTTUSD
BSV,USD,BSVUSD
PENDLE,USD,PENDLEUSD
PYTH,USD,PYTHUSD
WAL,RUSD,WALRUSD
KAIA,USD,KAIAUSD
PENGU,PUDUSD,PENGUPUDUSD
ZKJ,USD,ZKJUSD
XTZ,USD,XTZUSD
HNT,USD,HNTUSD
RUNE,USD,RUNEUSD
FLOW,USD,FLOWUSD
XCN,USD,XCNUSD
JTO,USD,JTOUSD
MANA,USD,MANAUSD
AB,2USD,AB2USD
TUSD,USD,TUSDUSD
BRETT,2USD,BRETT2USD
ZBCN,USD,ZBCNUSD
KAVA,USD,KAVAUSD
APE,USD,APEUSD
DEEP,BUSD,DEEPBUSD
KAITO,USD,KAITOUSD
ATH,HUSD,ATHHUSD
GRASS,2USD,GRASS2USD
LPT,USD,LPTUSD
NFT,USD,NFTUSD
EGLD,USD,EGLDUSD
AERO,DUSD,AERODUSD
DOG,GUSD,DOGGUSD
AIOZ,USD,AIOZUSD
AR,USD,ARUSD
DYDX,USD,DYDXUSD
NEO,USD,NEOUSD
STRK,USD,STRKUSD
RSR,USD,RSRUSD
AXS,USD,AXSUSD
AGT,ALUSD,AGTALUSD
EIGEN,USD,EIGENUSD
RON,USD,RONUSD
USDD,USD,USDDUSD
SUPER,USD,SUPERUSD
CFX,USD,CFXUSD
COMP,USD,COMPUSD
CHZ,USD,CHZUSD
SUN,USD,SUNUSD
FTT,USD,FTTUSD
ETHFI,USD,ETHFIUSD
AMP,2USD,AMP2USD
SYRUP,USD,SYRUPUSD
MORPHO,USD,MORPHOUSD
MOG,USD,MOGUSD
W,USD,WUSD
MOVE,BUSD,MOVEBUSD
POPCAT,2USD,POPCAT2USD
GNO,USD,GNOUSD
JST,USD,JSTUSD
TWT,USD,TWTUSD
LUNC,USD,LUNCUSD
AKT,USD,AKTUSD
BEAM,USD,BEAMUSD
OM,USD,OMUSD
SAFE,USD,SAFEUSD
AXL,IUSD,AXLIUSD
MEW,USD,MEWUSD
1INCH,USD,1INCHUSD
TURBO,USD,TURBOUSD
CHEEMS,CUSD,CHEEMSCUSD
CTC,USD,CTCUSD
DASH,USD,DASHUSD
BERA,USD,BERAUSD
CVX,USD,CVXUSD
KSM,USD,KSMUSD
MINA,USD,MINAUSD
FXS,USD,FXSUSD
AIC,OMPUSD,AICOMPUSD
MX,USD,MXUSD
ZRO,LUSD,ZROLUSD
DCR,USD,DCRUSD
SFP,USD,SFPUSD
NXPC,USD,NXPCUSD
GLM,USD,GLMUSD
TFUEL,USD,TFUELUSD
SNX,USD,SNXUSD
AI16Z,USD,AI16ZUSD
NOT,USD,NOTUSD
BABYDOGE,USD,BABYDOGEUSD
AIMX,MUSD,AIMXMUSD
ZIL,USD,ZILUSD
TRAC,USD,TRACUSD
IOTX,USD,IOTXUSD
QTUM,USD,QTUMUSD
BLUR,USD,BLURUSD
ROSE,USD,ROSEUSD
AIX,ALUSD,AIXALUSD
MASK,USD,MASKUSD
AKI,NUSD,AKINUSD
CKB,USD,CKBUSD
ASTR,USD,ASTRUSD
MOODENG,USD,MOODENGUSD
ZRX,USD,ZRXUSD
ACH,USD,ACHUSD
BAT,USD,BATUSD
ZK,FUSD,ZKFUSD
GAS,USD,GASUSD
VTHO,USD,VTHOUSD
STETH,USD,STETHUSD
WBTC,USD,WBTCUSD
UGOLD,USD,UGOLDUSD
WSTETH,USD,WSTETHUSD
EDLC,USD,EDLCUSD
WETH,USD,WETHUSD
SMART,2USD,SMART2USD
USDS,2USD,USDS2USD
AETHWETH,USD,AETHWETHUSD
WBETH,USD,WBETHUSD
WEETH,USD,WEETHUSD
ZETRIX,USD,ZETRIXUSD
BDTC,USD,BDTCUSD
CBBTC,CUSD,CBBTCCUSD
AETHUSDT,USD,AETHUSDTUSD
L1X,USD,L1XUSD
SUSDE,USD,SUSDEUSD
JITOSOL,USD,JITOSOLUSD
WBT,USD,WBTUSD
NXQ,USD,NXQUSD
LION,USD,LIONUSD
FTN,USD,FTNUSD
HTX,USD,HTXUSD
LBTC,USD,LBTCUSD
MRS,TUSD,MRSTUSD
JLP,USD,JLPUSD
BNSOL,USD,BNSOLUSD
MKR,USD,MKRUSD
LEMX,LUSD,LEMXLUSD
SDAI,USD,SDAIUSD
BIT,DUSD,BITDUSD
AMC,AIUSD,AMCAIUSD
RSETH,USD,RSETHUSD
SUT,SUSD,SUTSUSD
EOS,USD,EOSUSD
METH,USD,METHUSD
ZBU,USD,ZBUUSD
HUGE,USD,HUGEUSD
EZETH,USD,EZETHUSD
FLZ,USD,FLZUSD
RYO,TUSD,RYOTUSD
WHITE,RUSD,WHITERUSD
MSOL,USD,MSOLUSD
SOLVBTCBBN,USD,SOLVBTCBBNUSD
USD0,USD,USD0USD
USDY,OUSD,USDYOUSD
CMETH,USD,CMETHUSD
TBTC,USD,TBTCUSD
BDX,USD,BDXUSD
USDF,FUSD,USDFFUSD
MSQ,USD,MSQUSD
KLAY,USD,KLAYUSD
B,USD,BUSD
LSETH,USD,LSETHUSD
UPC,USD,UPCUSD
TEL,USD,TELUSD
CBETH,USD,CBETHUSD
APP,MUSD,APPMUSD
BZR,USD,BZRUSD
APU,APUSD,APUAPUSD
OHM,USD,OHMUSD
SVTS,USD,SVTSUSD
APEPE,AUSD,APEPEAUSD
USDG,GUSD,USDGGUSD
RLUSD,USD,RLUSDUSD
ARMY,XUSD,ARMYXUSD
CHEEL,USD,CHEELUSD
SEED,2USD,SEED2USD
