id,symbol,name,market_cap (usd),market_cap_rank,categories
equilibria-finance,eqb,Equilibria Finance,10918192,1433,[]
kyve-network,kyve,KYVE Network,10924317,1415,[]
alpine-f1-team-fan-token,alpine,Alpine F1 Team Fan Token,10967464,1410,[]
kasta,kasta,Kasta,10976784,1413,[]
nodecoin,nc,Nodecoin,11012113,1411,[]
helium-mobile,mobile,Helium Mobile,11068877,1409,[]
mixmarvel,mix,MixMarvel,11078672,1408,[]
send-2,send,Sendcoin,11104118,1407,[]
zklink,zkl,zkLink,11111134,1406,[]
revox,rex,REVOX,11163624,1405,[]
stader-sftmx,sftmx,BeethovenX sFTMX,11184532,1404,[]
ztx,ztx,ZTX,11209093,1403,[]
thorswap,thor,THORSwap,11213894,1400,[]
cellframe,cell,Cellframe,11242944,1402,[]
pintu-token,ptu,Pintu,11277768,1401,[]
kween,kween,KWEEN,11333465,1399,[]
playdapp,pda,PlayDapp,11366912,1397,[]
thala,thl,Thala,11370022,1398,[]
fractal-bitcoin,fb,Fractal Bitcoin,11391715,1395,[]
creatorbid,bid,CreatorBid,11436531,1396,[]
bitscrunch-token,bcut,bitsCrunch Token,11530650,1394,[]
frax-price-index-share,fpis,Frax Price Index Share,11545648,1393,[]
clore-ai,clore,Clore.ai,11578755,1388,[]
reecoin-2,ree,REECOIN,11580012,1392,[]
alienbase,alb,Alien Base,11586626,1390,[]
bertram-the-pomeranian,bert,Bertram The Pomeranian,11597777,1391,[]
peercoin,ppc,Peercoin,11615849,1387,[]
sovryn,sov,Sovryn,11631165,1389,[]
aura-finance,aura,Aura Finance,11645777,1386,[]
ca-htb,ca,Coupon Assets,11649155,1385,[]
equilibria-finance-ependle,ependle,Equilibria Finance ePENDLE,11716645,1383,[]
cryptofarmers,farm,CryptoFarmers,11733181,1384,[]
odin-s-dog,odindog,Odin's Dog,11734358,1381,[]
kondux-v2,kndx,KONDUX,11745805,1382,[]
bunni,bunni,Bunni,11758113,1380,[]
yusd-stablecoin,yusd,YUSD Stablecoin,11793724,1379,[]
compounding-open-dollar,cusdo,Compounding OpenDollar,11834724,1377,[]
octopus-network,oct,Octopus Network,11838241,1376,[]
sigma,sigma,Sigma,11846770,1378,[]
solana-social-explorer,sse,Solana Social Explorer,11896251,1374,[]
seth2,seth2,sETH2,11902480,1373,[]
lazio-fan-token,lazio,Lazio Fan Token,11904802,1370,[]
gme,gme,GME,11918703,1372,[]
noot-noot,noot,Noot Noot,11968971,1371,[]
cratos,crts,Cratos,11987921,1369,[]
altered-state-token,asto,Altered State Machine,12022633,1367,[]
yelay,ylay,Yelay,12044622,1368,[]
parallelai,pai,ParallelAI,12053708,1364,[]
maneki,maneki,MANEKI,12080028,1366,[]
pstake-finance,pstake,pSTAKE Finance,12109848,1363,[]
moby-ai,moby,Moby AI,12112526,1365,[]
stronghold-staked-sol,strongsol,Stronghold Staked SOL,12133314,1362,[]
salute,slt,Salute,12136819,1361,[]
allianceblock-nexera,nxra,Nexera,12152398,1360,[]
green-satoshi-token,gst-sol,STEPN Green Satoshi Token on Solana,12175871,1359,[]
bilira,tryb,BiLira,12183649,1358,[]
sidus,sidus,Sidus,12198502,1357,[]
mon-protocol,mon,MON,12213954,1355,[]
osmosis-allbtc,btc,Osmosis allBTC,12238497,1356,[]
slash-vision-labs,svl,Slash Vision Labs,12255944,1354,[]
castello-coin,cast,Castello Coin,12275969,1353,[]
xxcoin,xx,XX Network,12276683,1352,[]
cardano,ada,Cardano,29269076162,8,[]
mistery,mery,Mistery,5592518,1795,[]
wojak,wojak,Wojak,21878983,1033,[]
convex-finance,cvx,Convex Finance,191249908,271,[]
compound-usd-coin,cusdc,cUSDC,51408942,652,[]
gamee,gmee,GAMEE,5600507,1794,[]
strike-3,strike,STRIKE,21936740,1032,[]
sygnum-fiusd-liquidity-fund,fiusd,Sygnum FIUSD Liquidity Fund,51608025,650,[]
the-soldog,laika,LAIKA the Cosmodog,5603939,1793,[]
